Time (UTC);Open;High;Low;Close
08.04.2022 09:00;1,08665;1,08793;1,08642;1,0869
08.04.2022 10:00;1,08687;1,08917;1,08631;1,08861
08.04.2022 11:00;1,08861;1,0888;1,08589;1,08634
08.04.2022 12:00;1,08633;1,08662;1,085;1,08529
08.04.2022 13:00;1,08529;1,08577;1,08364;1,08399
08.04.2022 14:00;1,08397;1,08806;1,08389;1,08726
08.04.2022 15:00;1,08725;1,08815;1,08699;1,0874
08.04.2022 16:00;1,08738;1,08766;1,08677;1,08721
08.04.2022 17:00;1,08727;1,08754;1,0865;1,08718
08.04.2022 18:00;1,08718;1,08851;1,08697;1,08834
08.04.2022 19:00;1,08838;1,08848;1,0875;1,0878
08.04.2022 20:00;1,08781;1,08788;1,0872;1,08744
10.04.2022 21:00;1,09202;1,09202;1,09013;1,09084
10.04.2022 22:00;1,09087;1,09138;1,08858;1,08915
10.04.2022 23:00;1,08916;1,08937;1,08841;1,08841
11.04.2022 00:00;1,08842;1,08924;1,08801;1,08878
11.04.2022 01:00;1,08879;1,08946;1,0885;1,08903
11.04.2022 02:00;1,08903;1,08908;1,0875;1,08764
11.04.2022 03:00;1,08764;1,08865;1,08761;1,08831
11.04.2022 04:00;1,08833;1,08875;1,08798;1,08849
11.04.2022 05:00;1,0885;1,08929;1,0881;1,08925
11.04.2022 06:00;1,08925;1,08929;1,08739;1,08821
11.04.2022 07:00;1,08824;1,09135;1,08777;1,09098
11.04.2022 08:00;1,09096;1,09193;1,09035;1,0907
11.04.2022 09:00;1,0907;1,09281;1,09037;1,09251
11.04.2022 10:00;1,09252;1,09332;1,09048;1,09124
11.04.2022 11:00;1,09123;1,09135;1,08978;1,09009
11.04.2022 12:00;1,0901;1,09059;1,08922;1,09051
11.04.2022 13:00;1,09051;1,09058;1,08791;1,08811
11.04.2022 14:00;1,0881;1,08983;1,08777;1,08957
11.04.2022 15:00;1,08956;1,08995;1,08735;1,08756
11.04.2022 16:00;1,08755;1,08848;1,08727;1,08777
11.04.2022 17:00;1,08777;1,08886;1,08774;1,08824
11.04.2022 18:00;1,08824;1,08945;1,08805;1,08898
11.04.2022 19:00;1,089;1,08907;1,08816;1,08842
11.04.2022 20:00;1,0884;1,08851;1,088;1,08829
11.04.2022 21:00;1,08829;1,08849;1,08814;1,08832
11.04.2022 22:00;1,08833;1,08859;1,08798;1,08803
11.04.2022 23:00;1,08805;1,08855;1,08766;1,08769
12.04.2022 00:00;1,08769;1,08873;1,08709;1,08744
12.04.2022 01:00;1,08744;1,08745;1,08665;1,08708
12.04.2022 02:00;1,08708;1,08748;1,08666;1,08712
12.04.2022 03:00;1,08713;1,08766;1,0871;1,08745
12.04.2022 04:00;1,08746;1,0883;1,08746;1,08792
12.04.2022 05:00;1,08792;1,08818;1,08699;1,08704
12.04.2022 06:00;1,08703;1,08722;1,08599;1,08603
12.04.2022 07:00;1,08602;1,08727;1,08533;1,08706
12.04.2022 08:00;1,08708;1,08713;1,08552;1,08619
