Time (UTC);Open;High;Low;Close;Volume 
2022.02.10 22:00:00;1,14267;1,14298;1,13296;1,13463;136102,08
2022.02.13 22:00:00;1,13369;1,1369;1,12799;1,13052;128206,384
2022.02.14 22:00:00;1,13043;1,13681;1,12981;1,13574;93704,16
2022.02.15 22:00:00;1,13572;1,13957;1,13449;1,13718;84935,44
2022.02.16 22:00:00;1,13717;1,1386;1,1323;1,13592;120025
2022.02.17 22:00:00;1,13584;1,13769;1,1314;1,13203;88604,1061
2022.02.20 22:00:00;1,13186;1,13905;1,13064;1,13078;79044,4345
2022.02.21 22:00:00;1,13074;1,13667;1,1288;1,1324;113210,66
2022.02.22 22:00:00;1,13229;1,13588;1,13011;1,13027;68673,28
2022.02.23 22:00:00;1,13036;1,13087;1,11062;1,11914;224154,8765
2022.02.24 22:00:00;1,11912;1,12739;1,11659;1,12719;145936,195
2022.02.27 22:00:00;1,11237;1,12464;1,11225;1,12181;198061,53
2022.02.28 22:00:00;1,12181;1,12329;1,10896;1,1124;139952,01
2022.03.01 22:00:00;1,11234;1,11437;1,10573;1,11179;164881,855
2022.03.02 22:00:00;1,11179;1,11215;1,10334;1,10658;113142,2138
2022.03.03 22:00:00;1,10655;1,10677;1,08856;1,09311;161912,4274
2022.03.06 22:00:00;1,09199;1,09325;1,08059;1,08523;246815,055
2022.03.07 22:00:00;1,08515;1,09582;1,08489;1,08997;205756,6167
2022.03.08 22:00:00;1,08964;1,10951;1,089;1,1074;135828,13
2022.03.09 22:00:00;1,10733;1,11212;1,0976;1,09849;176743,9699
2022.03.10 22:00:00;1,09849;1,10435;1,09018;1,09099;174706,64
2022.03.13 21:00:00;1,09205;1,09938;1,09005;1,09399;192788,5558
2022.03.14 21:00:00;1,09399;1,10196;1,0926;1,09551;235412,84
2022.03.15 21:00:00;1,09531;1,10466;1,0948;1,10333;247214,254
2022.03.16 21:00:00;1,10333;1,11375;1,10076;1,1091;154768,42
2022.03.17 21:00:00;1,1091;1,11186;1,1003;1,10492;166997,47
